,url,numero,tipo,lugar,descripcion,importe,fecha,procedimiento,situacion
20,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620570,201,Local,Donostia,"Local Comercial. Travesía de Manteo 21, casa número 2. 46 m2","48.924,34 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
21,https://www.gipuzkoa.eus/es/web/ogasuna/-/13620561,200,Local,Donostia,"LOCAL en planta baja, de la casa número once de la Calzada de Egia, de esta Ciudad de San Sebastián. Ocupa una superficie de 68 m2.","107.229,12 €","Primera licitación, 25/03/2020,  y segunda licitación: 27/03/2020","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Anulada
22,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726641,199,Garaje,Donostia,"Plaza de aparcamiento cerrada número ocho en la planta de semisotano del conjunto residencial integrado por tres casas señaladas con los números cinco, siete y nueve de la calle Eguzki Eder, de Donostia-San Sebastián. Ocupa una superficie de 26,80 m2.","17.450,00 €","Primera licitación: 27/11/2019,  y segunda licitación: 29/11/2019","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
23,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726648,197,Trastero,Usurbil,"Urbana. Número 51. Trastero número 3 de la planta bajo cubierta del edificio construido sobre la parcela A-1, en el área 52 del denominado “Kalezar”, zona Eguzkitze, hoy calle Errekatxiki número dos de la villa de Usurbil. Ocupa una superficie de 6,51 m2.","2.970,00 €","Primera licitación: 27/11/2019,  y segunda licitación: 29/11/2019","Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
24,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726655,196,Garaje,Usurbil,"Urbana. Número 29. Plaza de garaje cerrada señalada en el plano con el número F12 ubicada en la planta de sótano 2 del edificio construido sobre la parcela A2 en el área 52 del denominado “Kalezar”, zona Eguzkitze  de la villa de Usurbil. Ocupa una superficie de 13,38 m2.","11.950,00 €",Primera licitación: 27/11/2019;  y segunda licitación: 29/11/2019,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
25,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726662,195,Garaje,Usurbil,"Urbana. Número 27. Plaza de garaje cerrada señalada en el plano con el número F10 ubicada en la planta de sótano 2 del edificio construido sobre la parcela A2 en el área 52 del denominado “Kalezar”, zona Eguzkitze  de la villa de Usurbil. Ocupa una superficie de 14,08 m2.","12.570,00 €",Primera licitación: 27/11/2019;  y segunda licitación: 29/11/2019,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
26,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726669,194,Garaje,Usurbil,"Plaza de garaje cerrada señalada en el plano con el número F2 ubicada en la planta de sótano 2 del edificio construido sobre la parcela A2 en el área 52 del denominado “Kalezar”, zona Eguzkitze  de la villa de Usurbil. Ocupa una superficie de 14,05 m2.","12.550,00 €",Primera licitación: 27/11/2019;  y segunda licitación: 29/11/2019,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
27,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726676,193,Garaje,Usurbil,"Plaza de garaje cerrada señalada en el plano con el número F4 ubicada en la planta de sótano 2 del edificio construido sobre la parcela A2 en el área 52 del denominado “Kalezar”, zona Eguzkitze  de la villa de Usurbil. Ocupa una superficie de 14,80 m2.","13.220,00 €",Primera licitación: 27/11/2019;  y segunda licitación: 29/11/2019,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Desierta
28,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726683,192,Garaje,Irun,"LOCAL de GARAJE letra E, integrado en parte del SOTANO SEGUNDO, del Edificio destinado a almacén y garajes, identificado como Bloque número III, sito en la calle inclinada de IRUN, en la AVENIDA DE SALIS. Ocupa una superficie de 20,40 m2.","35.038,22 €",Primera licitación: 27/11/2019; y segunda licitación: 29/11/2019,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
29,https://www.gipuzkoa.eus/es/web/ogasuna/-/11726690,191,Garaje,Durango,"PARCELA DE APARCAMIENTO señalada con el número VEINTISIETE sita en planta de sótano –1 del edificio número once, doce y trece (3, 2 y 1 según calificación de VPO), de Errotaritxuena Auzunea en Durango. Ocupa una superficie de 13,49 m2.","11.275,48 €",Primera licitación: 27/11/2019; y segunda licitación: 29/11/2019,"Subasta: Primera Licitación, procedimiento de presentación ofertas en sobre cerrado; y, segunda licitación mediante sucesivas pujas de viva voz.",Adjudicada
